Voltaje,Distancia
0.0068,1.1875
0.0068,1.0473
0.0068,0.865
0.0068,0.8069
0.0068,1.1835
0.0068,1.0012
0.0068,1.4019
0.0068,0.7448
0.0068,1.4019
0.0066,1.1975
0.0068,1.2076
0.0068,0.889
0.0068,1.1935
0.0068,0.9972
0.0068,0.9572
0.0068,1.4039
0.0068,1.6002
0.0068,1.6142
0.0068,2.1952
0.0068,1.3538
0.0068,1.5782
0.0068,1.2056
0.0068,1.3418
0.0068,1.5882
0.0068,1.5942
0.0068,1.3458
0.0068,1.5141
0.0068,1.5661
0.0066,1.5822
0.0068,1.7184
0.0068,1.5101
0.0068,1.7645
0.0068,1.6383
0.0068,1.48
0.0068,1.2897
0.0068,1.1014
0.0068,1.5181
0.0068,1.3378
0.0068,1.2176
0.0068,1.5902
0.0068,1.5942
0.0068,1.1595
0.0068,1.5521
0.0068,1.6142
0.0068,1.6102
0.0068,1.6162
0.0068,1.1615
0.0068,1.5902
0.0068,1.5982
0.0068,1.5922
0.0068,1.5942
3.8444,1.5962
3.8394,1.3378
3.8364,2.8663
3.8345,12.5601
3.8345,9.5812
3.0828,9.5592
3.095,6.2438
3.0858,1.0954
3.0914,1.2917
3.6327,1.3838
3.6277,2.6098
4.322,11.4042
4.3406,9.4069
4.34,9.5792
0.0066,14.6775
0.0066,1.8005
0.0066,1.474
0.0066,1.7845
0.0068,1.5802
