Voltaje,Temperatura
0.0068,20.1065
0.0068,20.1264
0.0066,20.1264
0.0068,20.1264
0.0068,20.1065
0.0066,20.1264
0.0068,20.1065
0.0068,20.1264
0.0066,20.1264
0.0068,20.1264
0.0068,20.1264
0.0066,20.1264
0.0068,20.1065
0.0068,20.1264
0.0047,20.1264
0.0054,20.6823
0.0053,21.7742
0.0053,22.7868
0.0053,23.6802
0.0053,24.4942
0.0051,25.3677
0.0053,26.0824
3.8313,26.7972
3.836,27.3729
4.5721,27.7899
4.9867,28.1075
4.9809,28.4053
4.9893,28.7428
4.9998,29.0406
4.9907,29.3186
4.982,29.5767
4.982,29.8149
4.9828,30.0333
4.9892,30.2914
4.982,30.5098
4.997,30.7083
4.9785,30.9466
4.9901,31.165
4.988,31.3635
4.986,31.562
4.9824,21.536
4.998,21.5161
4.9899,21.536
4.9869,21.5161
4.9985,21.5161
4.9863,21.5161
4.998,21.5161
4.9818,21.4963
4.9893,21.4963
4.9865,21.4963
4.979,21.4963
4.989,21.4963
4.989,21.4963
4.994,21.4963
5.0,21.4764
5.0008,21.4566
4.9959,21.4764
4.98,21.4764
4.9982,21.4566
4.9878,21.4566
4.994,21.4764
4.9899,21.4566
4.9809,21.4367
4.9959,21.4367
4.9809,21.4367
4.9803,21.4367
4.9848,21.4169
4.9916,21.4169
4.986,21.4169
4.9862,21.3772
4.986,21.397
4.9985,21.3772
4.986,21.397
4.9822,21.3772
4.9837,21.397
4.9811,21.3772
4.9865,21.3772
4.9907,21.3772
4.9995,21.3573
4.985,21.3375
4.9832,21.3375
4.98,21.3375
4.9815,21.3176
4.986,21.3375
4.9811,21.3176
4.9888,21.3375
4.986,21.3375
4.9882,21.3176
4.9899,21.2977
4.9997,21.2977
5.0021,21.2779
4.998,21.2779
4.9875,21.258
4.9792,21.2382
4.9963,21.258
4.9892,21.2382
4.9828,21.2382
4.9826,21.2382
4.983,21.2382
4.9893,21.2183
4.982,21.2382
4.9835,21.2382
4.9863,21.2183
4.9826,21.1985
4.9899,21.2183
4.9832,21.1985
4.9841,21.1985
4.9957,21.1985
5.0008,21.1786
4.9895,21.1786
4.9841,21.1786
4.9907,21.1588
4.9914,21.1588
4.9974,21.1588
4.9833,21.1389
4.9837,21.1389
4.9925,21.1191
4.9985,21.1191
4.9794,21.0992
5.0004,21.0992
4.9888,21.0992
4.9927,21.0992
4.9841,21.0992
4.9968,21.0794
4.9952,21.0794
4.9888,21.0794
4.9935,21.0794
5.0006,21.0794
4.997,21.0595
4.9955,21.0595
4.9933,21.0595
4.9907,21.0595
4.9899,21.0396
4.9877,21.0396
4.9912,20.9999
4.9871,21.0396
5.0015,21.0198
4.9965,21.0198
4.9935,21.0198
4.9955,20.9999
4.9886,20.9999
4.9953,20.9999
4.986,20.9801
4.9886,20.9999
4.9923,20.9602
4.9933,20.9801
4.9865,20.9602
4.9865,20.9404
4.9773,20.9602
4.982,20.9404
4.9912,20.9404
4.9938,20.9205
4.995,20.9404
4.9989,20.9205
4.9856,20.9205
4.9972,20.9205
4.985,20.9007
5.0028,20.9205
4.9953,20.9205
4.9875,20.9007
4.9854,20.9007
4.9938,20.9007
4.9852,20.9007
5.0012,20.9007
4.9991,20.8808
4.989,20.9007
4.9935,20.9007
5.0036,20.9007
4.9893,20.9007
4.9953,20.8808
4.9935,20.8808
4.982,20.8808
4.9809,20.8808
4.9899,20.8808
4.9914,20.8808
4.9811,20.861
4.9757,20.861
4.9818,20.861
4.9886,20.861
4.9957,20.861
4.9895,20.861
4.9933,20.861
5.0034,20.861
4.9965,20.8411
4.998,20.8411
4.9931,20.8411
4.9922,20.8213
4.9989,20.8213
4.9931,20.8213
4.9809,20.8213
4.9839,20.8014
4.9796,20.8014
4.9955,20.8014
5.0021,20.8213
4.9991,20.8213
4.9886,20.8014
4.9912,20.8014
4.9901,20.7816
4.9863,20.7816
4.9822,20.8014
5.0025,20.7816
4.9948,20.7816
4.9687,20.7816
4.9914,20.7816
4.983,20.7816
4.9858,20.7617
4.9828,20.7617
4.983,20.7617
4.9893,20.7617
4.9914,20.7418
4.9935,20.7418
5.0053,20.7418
5.0072,20.722
4.9929,20.722
5.006,20.722
4.9997,20.722
5.0,20.7418
4.9935,20.722
4.9798,20.722
4.9892,20.7021
4.9717,20.7021
4.9938,20.6823
4.9899,20.7021
4.9927,20.7021
4.9972,20.7021
4.9968,20.7021
4.9794,20.7021
4.9933,20.7021
4.9905,20.7021
4.9833,20.7021
4.9841,20.6823
4.9916,20.7021
4.991,20.6823
4.9922,20.6823
4.9843,20.6823
4.9818,20.6823
4.9833,20.6823
4.98,20.6823
4.9835,20.6823
4.9822,20.6823
4.9907,20.6624
5.0013,20.6823
4.9963,20.6624
4.9843,20.6624
4.9815,20.6624
4.9933,20.6823
4.9959,20.6624
4.9922,20.6624
4.9903,20.6823
4.9912,20.6823
4.9858,20.6624
4.9922,20.6624
4.9862,20.6624
4.988,20.6624
4.9912,20.6624
4.9871,20.6624
4.9952,20.6624
4.9925,20.6426
4.9787,20.6624
4.9815,20.6227
4.9993,20.6426
4.9794,20.6426
4.9923,20.6426
4.9937,20.6426
4.9942,20.6227
4.9863,20.6227
4.983,20.6426
4.9822,20.6227
4.9893,20.6227
4.9903,20.6227
4.9852,20.6426
4.9873,20.6227
4.9899,20.6227
4.9923,20.6227
4.9946,20.6426
4.9764,20.6227
4.979,20.6227
4.9798,20.6227
4.9953,20.6227
4.9974,20.6227
4.9942,20.6227
4.9925,20.6029
4.9933,20.6029
4.9908,20.6029
4.9985,20.6029
4.9886,20.6029
4.9877,20.6029
4.9955,20.6029
4.9993,20.6029
4.985,20.6029
4.982,20.6029
4.9922,20.583
4.977,20.6029
4.9738,20.6029
5.003,20.583
5.0042,20.583
4.992,20.583
4.9948,20.5632
